TCGA-OR-A5J1,TCGA-OR-A5J2,TCGA-OR-A5J3,TCGA-OR-A5J5,TCGA-OR-A5J6,TCGA-OR-A5J7,TCGA-OR-A5J8,TCGA-OR-A5J9,TCGA-OR-A5JA,TCGA-OR-A5JB,TCGA-OR-A5JC,TCGA-OR-A5JD,TCGA-OR-A5JE,TCGA-OR-A5JF,TCGA-OR-A5JG,TCGA-OR-A5JI,TCGA-OR-A5JJ,TCGA-OR-A5JK,TCGA-OR-A5JL,TCGA-OR-A5JM,TCGA-OR-A5JO,TCGA-OR-A5JP,TCGA-OR-A5JQ,TCGA-OR-A5JR,TCGA-OR-A5JS,TCGA-OR-A5JT,TCGA-OR-A5JV,TCGA-OR-A5JW,TCGA-OR-A5JX,TCGA-OR-A5JY,TCGA-OR-A5JZ,TCGA-OR-A5K0,TCGA-OR-A5K1,TCGA-OR-A5K2,TCGA-OR-A5K3,TCGA-OR-A5K4,TCGA-OR-A5K5,TCGA-OR-A5K6,TCGA-OR-A5K8,TCGA-OR-A5K9,TCGA-OR-A5KO,TCGA-OR-A5KT,TCGA-OR-A5KU,TCGA-OR-A5KV,TCGA-OR-A5KW,TCGA-OR-A5KX,TCGA-OR-A5KY,TCGA-OR-A5KZ,TCGA-OR-A5L3,TCGA-OR-A5L4,TCGA-OR-A5L5,TCGA-OR-A5L6,TCGA-OR-A5L8,TCGA-OR-A5L9,TCGA-OR-A5LA,TCGA-OR-A5LB,TCGA-OR-A5LC,TCGA-OR-A5LD,TCGA-OR-A5LE,TCGA-OR-A5LG,TCGA-OR-A5LH,TCGA-OR-A5LJ,TCGA-OR-A5LK,TCGA-OR-A5LL,TCGA-OR-A5LM,TCGA-OR-A5LN,TCGA-OR-A5LO,TCGA-OR-A5LP,TCGA-OR-A5LR,TCGA-OR-A5LS,TCGA-OR-A5LT,TCGA-OU-A5PI,TCGA-P6-A5OF,TCGA-P6-A5OG,TCGA-PA-A5YG,TCGA-PK-A5H8,TCGA-PK-A5H9,TCGA-PK-A5HA,TCGA-PK-A5HB
62.1323,72.4692,43.6827,10.442,59.6585,75.4212,191.0045,108.4004,48.4416,20.17,38.0026,51.0153,37.8358,51.2117,48.9646,60.2774,45.6539,136.3524,49.0136,17.8297,837.9909,48.9308,85.4085,52.3339,47.6404,53.8369,148.8298,50.9161,54.9386,43.2131,30.9596,70.5497,114.3534,32.9449,38.6367,24.2747,22.8918,27.9108,34.4688,23.9694,23.2683,89.6224,20.182,25.2352,33.6585,28.6525,60.2988,72.5776,5.4157,97.1383,58.3097,54.4438,17.6378,9.2943,53.7517,65.3002,37.0309,14.5088,83.7218,43.5013,76.4565,27.6671,70.9773,12.2442,45.3653,37.8002,36.2281,110.8767,54.8044,33.275,16.9399,42.7234,52.977,127.361,96.1576,41.899,2299.4792,98.5672,89.6109
0.0427,0.0362,0.0947,0.0238,0.0,0.0364,0.0559,0.1333,0.0239,0.0212,0.0717,0.0,0.0941,0.0462,0.0,0.0,0.3358,0.0256,0.0,0.1688,0.0,0.1411,0.0,0.056,0.0184,0.0,0.0214,0.1585,0.0467,1.3175,0.0,0.0,0.034,0.0788,0.0,0.0283,0.0,0.0227,0.0,0.0,0.0231,0.0431,0.0,0.0374,0.0226,0.0,0.0372,0.0318,0.1244,0.0,0.0,0.0,0.1172,0.0671,0.0,0.0462,0.0,0.0417,0.1501,0.0,0.0,0.041,0.0,0.0304,0.0221,0.0,0.0207,0.0,0.0336,0.0,0.0,0.0,0.0,0.1414,0.0,0.0524,0.0175,0.0,0.0382
2.7157,3.1569,1.0242,3.8207,21.7899,2.8414,18.8781,6.3364,9.3061,48.2604,3.764,1.68,2.5742,2.3629,1.6716,5.3916,8.5296,2.5555,2.0728,4.415,25.7647,2.0019,2.2717,1.0171,12.0586,2.0648,1.3185,3.4944,3.1207,1.6177,20.6629,0.9111,3.614,2.1118,2.9595,9.0171,2.4393,2.0969,2.9209,1.0307,6.6913,15.3341,7.8196,6.8511,1.2827,4.3703,2.7509,1.9064,0.5534,4.4914,2.6308,2.8206,0.6009,2.8838,1.6733,2.5291,2.0468,1.1697,1.2436,18.4062,4.3668,6.403,2.5263,5.5186,5.7266,1.1675,5.4565,4.6697,2.747,0.9462,7.6733,4.2047,4.8167,7.8192,2.3935,2.5796,5.845,9.8191,50.1463
3.8876,3.1952,14.3955,2.1786,4.2493,16.6906,1.6975,8.4572,7.3308,3.6709,1.4008,1.8903,9.9531,3.4355,3.4791,0.7782,6.9169,1.7209,6.6937,13.2973,1.5729,4.6078,1.3596,1.8987,12.0904,2.0959,2.125,4.6348,2.1119,7.8942,2.7681,2.4831,2.1117,13.8642,3.3101,3.0025,13.3063,2.8906,2.4174,22.3392,4.6456,9.5322,3.5186,5.2443,9.2347,1.9249,16.2771,4.7713,1.2571,8.9296,1.5774,1.3866,1.9742,0.167,1.1708,6.9985,6.3528,1.4747,10.4488,7.1863,6.5062,3.3482,0.691,0.6184,5.6619,0.432,6.6183,1.0382,2.4464,5.4011,1.0652,12.4332,9.2138,0.7458,1.2358,3.2421,1.6796,1.1277,3.522
2.2845,0.6416,0.7176,1.3663,0.4141,0.6212,2.7539,1.9518,0.7069,0.4447,1.4817,1.7601,0.5675,0.4241,0.9931,1.0528,0.5494,0.6078,1.0521,0.6031,1.3207,0.972,1.2091,1.4583,0.6134,0.7782,0.5904,0.3753,1.0047,0.1513,1.0721,0.189,0.4683,0.2713,0.5216,1.7073,0.4885,0.4304,0.3612,0.0643,0.2471,0.1486,2.1524,0.4375,1.2319,0.6242,0.7168,2.7025,0.06,0.1771,0.7702,0.8074,0.7735,0.0462,0.3276,1.2426,0.8693,1.035,0.0207,0.3387,2.2703,0.3885,0.7525,0.2094,1.4549,0.3275,2.9137,1.0414,1.2864,1.0488,1.3797,0.6544,0.9392,1.9128,0.202,0.316,2.6302,0.5149,0.461
0.1417,0.0086,0.0674,0.1803,0.0671,0.0086,0.2122,0.0158,0.0113,0.241,0.034,0.0505,0.0558,0.0949,0.0,0.0,0.0398,0.0364,0.07,0.01,0.0227,0.0287,0.0086,0.0354,0.0174,0.0,0.3355,0.1034,0.1993,0.0947,0.0141,0.0781,0.0323,0.0374,0.0175,0.0134,0.0207,0.0539,0.0,0.0098,0.011,0.1023,0.0,0.0,0.0107,0.0409,0.1851,0.0151,0.0,0.0407,0.0183,0.0,0.0,0.0319,0.0564,0.0219,0.0467,0.0,0.0142,0.0286,0.0,0.0097,0.0846,0.0144,0.0105,0.141,0.0785,0.0751,0.0958,0.1011,0.0322,0.0265,0.0809,0.23,0.0843,0.0373,0.0995,0.0851,0.0091
17.9317,27.6701,17.9783,10.4116,13.9787,24.5674,30.0325,27.7751,16.3094,20.3482,16.0408,32.4483,17.9293,22.687,36.5988,10.9839,26.1369,23.8954,11.6475,33.703,12.8777,34.7158,32.0285,34.5601,42.3609,64.6262,25.3193,14.5768,12.7505,19.1784,35.5461,11.9028,42.8762,23.2832,29.7675,42.0524,47.6663,14.2049,12.6814,35.0725,19.4326,30.014,15.4876,32.4264,20.7056,9.4471,23.5276,22.2725,8.3644,28.0938,30.2182,18.5901,23.5295,9.3423,18.1133,12.3106,23.0524,27.9093,22.8789,58.9521,15.5456,11.9909,9.8091,28.2591,18.4953,11.9249,26.9184,56.7296,41.7138,21.3503,15.9331,22.4655,15.6415,35.1504,28.3254,16.4209,13.5759,30.7739,25.305
3.0382,3.6741,2.4719,3.866,3.9428,6.1431,12.1805,3.5875,8.0154,6.9936,4.426,2.921,7.9831,3.8472,4.4721,2.5014,3.9895,3.2341,5.6402,4.8989,3.4796,3.6308,3.8653,4.0986,4.6721,3.358,3.9848,6.7928,4.0391,7.3436,3.662,4.4655,3.821,4.0584,3.0709,5.1241,5.1647,5.852,2.4655,4.8689,4.6342,5.0335,3.711,4.3013,2.7787,5.2582,4.1554,8.7779,2.2001,4.5722,2.7349,3.4193,3.571,0.8254,1.9165,3.7412,2.2514,5.343,2.9756,4.0256,4.0682,3.8977,4.1938,4.9765,3.5908,4.2266,4.1977,3.3242,3.0926,2.8345,3.1334,2.4972,3.8505,5.0681,2.6607,7.72,3.7409,6.2823,9.4217
11.0884,5.6153,6.7338,3.2949,6.8859,7.3853,3.3856,5.3906,5.9459,7.5102,5.7708,4.6552,3.5778,7.4848,4.6752,5.4271,6.8923,5.365,10.7981,10.2418,4.9335,4.5068,6.0718,7.0531,6.8268,9.2196,4.8306,4.8277,6.0005,8.3756,10.0531,3.6188,7.096,6.4635,6.0304,9.8516,5.4284,3.8055,4.6123,5.2244,8.8546,4.2705,6.9105,9.9789,8.5292,3.5145,6.5733,9.6951,2.8202,8.2384,6.3137,4.1043,8.2067,1.3729,3.4362,7.3653,4.161,6.0668,10.3526,6.3671,7.4061,4.6546,3.2063,9.4579,8.3515,4.111,8.5436,6.2219,8.3596,8.0119,10.0424,6.3753,6.9119,6.604,5.5132,7.5544,9.6867,2.7684,4.7246
7.0322,1.4631,2.1262,3.3364,1.3897,3.146,3.3187,2.7938,1.601,4.8221,2.0287,3.2652,0.7515,2.2868,0.5417,1.5665,3.1543,3.6079,3.7479,1.5447,2.3803,1.9092,2.2559,2.302,4.0387,3.4589,3.5226,4.802,6.8703,7.9401,0.7509,3.0746,2.4629,2.5636,2.0243,1.6131,0.4823,0.8858,1.9011,0.2677,1.0623,2.4366,3.8629,0.777,1.5151,5.1694,2.6498,1.7506,2.487,1.522,2.9798,2.8606,4.2719,0.9585,1.6171,11.5442,2.5408,2.3705,9.1368,3.5855,4.2028,1.3441,1.9574,13.0176,5.6593,5.0897,6.8072,1.1037,2.3552,6.4974,5.0182,11.5116,1.2179,7.2788,3.3864,4.0001,0.7055,0.7742,1.3502
