TCGA-BF-A1PU,TCGA-BF-A1PV,TCGA-BF-A1PX,TCGA-BF-A1PZ,TCGA-BF-A1Q0,TCGA-BF-A3DJ,TCGA-BF-A3DL,TCGA-BF-A3DM,TCGA-BF-A3DN,TCGA-BF-A5EO,TCGA-BF-A5EP,TCGA-BF-A5EQ,TCGA-BF-A5ER,TCGA-BF-A5ES,TCGA-BF-A9VF,TCGA-BF-AAOU,TCGA-BF-AAOX,TCGA-BF-AAP1,TCGA-BF-AAP2,TCGA-BF-AAP4,TCGA-BF-AAP6,TCGA-BF-AAP7,TCGA-BF-AAP8,TCGA-D3-A5GT,TCGA-D9-A3Z4,TCGA-D9-A4Z2,TCGA-D9-A4Z3,TCGA-D9-A4Z5,TCGA-DA-A960,TCGA-EB-A1NK,TCGA-EB-A24C,TCGA-EB-A24D,TCGA-EB-A299,TCGA-EB-A3HV,TCGA-EB-A3XB,TCGA-EB-A3XC,TCGA-EB-A3XD,TCGA-EB-A3XE,TCGA-EB-A3XF,TCGA-EB-A3Y6,TCGA-EB-A3Y7,TCGA-EB-A41A,TCGA-EB-A41B,TCGA-EB-A42Y,TCGA-EB-A42Z,TCGA-EB-A430,TCGA-EB-A431,TCGA-EB-A44N,TCGA-EB-A44O,TCGA-EB-A44P,TCGA-EB-A4IQ,TCGA-EB-A4IS,TCGA-EB-A4OY,TCGA-EB-A4OZ,TCGA-EB-A4P0,TCGA-EB-A4XL,TCGA-EB-A51B,TCGA-EB-A550,TCGA-EB-A551,TCGA-EB-A553,TCGA-EB-A57M,TCGA-EB-A5FP,TCGA-EB-A5SE,TCGA-EB-A5SF,TCGA-EB-A5UM,TCGA-EB-A5VU,TCGA-EB-A6QY,TCGA-EB-A6QZ,TCGA-EB-A6R0,TCGA-EB-A82B,TCGA-EB-A82C,TCGA-EB-A85I,TCGA-EB-A85J,TCGA-EB-A97M,TCGA-ER-A194,TCGA-ER-A196,TCGA-ER-A19K,TCGA-ER-A19T,TCGA-ER-A2NB,TCGA-ER-A2NF,TCGA-ER-A42H,TCGA-FR-A2OS,TCGA-FR-A3R1,TCGA-FR-A726,TCGA-FR-A728,TCGA-FS-A1ZN,TCGA-FW-A5DX,TCGA-GF-A2C7,TCGA-GF-A769,TCGA-GN-A263,TCGA-GN-A26C,TCGA-GN-A4U5,TCGA-GN-A8LN,TCGA-HR-A5NC,TCGA-IH-A3EA,TCGA-WE-A8K4,TCGA-XV-A9VZ,TCGA-XV-A9W2,TCGA-XV-A9W5,TCGA-XV-AAZV,TCGA-XV-AAZW,TCGA-XV-AAZY,TCGA-YG-AA3N
47.7732,15.5791,209.5759,24.2582,47.7095,2810.4615,50.5249,36.2929,107.111,366.1871,51.0714,305.9913,91.5635,128.7279,40.9176,267.7049,710.4642,30.382,84.486,132.7828,137.8971,89.8594,180.1095,136.7316,401.3401,225.3089,58.4273,1126.048,15.3056,243.4585,42.7987,23.1074,158.7116,538.6266,1015.0898,152.5606,144.0502,123.3901,277.0038,214.1554,32.9919,336.8436,44.4197,52.5133,1230.1403,201.0111,250.6829,109.0952,103.8115,195.395,34.2975,181.147,59.6114,32.2488,28.1421,490.7308,256.0659,135.5337,1077.3786,17.0281,218.9749,105.0494,61.8508,34.8373,24.3857,175.8247,41.6959,173.6097,23.7994,309.7795,12.0189,213.7091,95.1502,243.989,45.4226,108.746,93.5804,462.8947,21.6922,1110.0771,290.4615,352.3901,103.5148,309.6757,62.5993,195.657,387.3544,206.0001,217.112,587.4855,70.4658,165.298,434.1741,52.192,984.9348,58.5027,29.3194,141.8999,371.4304,106.9372,27.5515,110.2768,67.5348
0.0,0.0,0.0149,0.0147,0.0501,0.1445,0.0183,0.0337,0.127,0.0846,0.079,0.0399,0.018,0.023,0.0528,0.0235,0.0468,0.0324,0.0,0.0,0.0665,0.1305,0.0269,0.022,0.0,0.2294,0.0553,0.0809,0.0313,0.0238,0.0,0.0631,0.3076,0.0631,0.0174,0.0265,0.0,0.0,0.0422,0.0177,0.0,0.2013,0.0497,0.03,0.0161,0.0294,0.0536,0.0525,0.0722,0.0763,0.0749,0.018,0.0,0.1392,0.0,0.1426,0.0,0.0217,0.1687,0.0,0.0213,0.0,0.0366,0.0,0.0247,0.0637,0.0181,0.1486,0.0503,0.0209,0.1082,0.0,0.3159,0.0,0.0,0.0,0.015,0.0,0.0318,0.0,0.166,0.1186,0.053,0.1815,0.0858,0.0305,0.0746,0.0591,0.1234,0.1104,0.0331,0.0541,0.1128,0.0,0.0,0.0461,0.0832,0.0471,0.1708,0.0408,0.1411,0.0,0.0449
2.1639,0.6807,5.3604,0.6045,1.2097,0.8122,1.733,0.8526,2.5577,1.7077,4.7494,3.1173,1.142,2.0368,0.7962,2.1035,1.0918,0.8486,1.0802,2.0714,1.3379,2.6247,1.0804,0.403,1.0666,0.9484,0.4495,1.244,0.6003,2.4824,1.2117,0.6632,3.2424,3.6617,0.9608,1.7352,6.9078,4.0472,0.6426,1.5657,3.1374,0.6011,0.4589,0.9518,1.4156,0.5324,1.0512,4.3043,0.5168,1.6627,1.4266,3.499,0.9429,3.3671,1.6717,1.6752,0.2478,2.1403,1.0405,1.5464,8.1553,0.6064,1.0365,2.6203,1.8596,0.5915,0.831,1.4489,0.3064,2.241,0.6859,1.5999,0.9625,1.0451,3.0446,3.1804,0.6739,0.3659,2.862,1.4216,2.1465,1.0722,0.3444,1.1613,2.6832,0.6042,0.3522,1.423,1.0957,0.3901,2.0178,1.9735,0.907,1.7624,0.5062,0.4491,4.2341,0.9538,1.7018,1.6675,2.5486,3.0829,0.8268
1.3942,2.4701,3.0874,1.6724,0.3724,3.2237,2.0049,2.9593,1.7927,3.4983,2.5319,0.9033,1.7162,2.2582,4.538,2.1646,1.9004,1.8759,1.9822,0.9621,4.4988,2.8941,1.1549,0.6258,2.7008,4.1072,0.9352,1.5859,0.4329,3.3027,0.8524,0.8009,3.198,3.0364,2.0115,3.8966,4.3802,1.404,2.925,1.5124,2.6342,0.8629,2.0292,2.6117,1.8699,1.878,1.9945,4.1959,4.4512,4.2369,2.8113,1.6715,1.5355,1.7686,0.8757,2.2849,1.181,4.7037,0.8862,1.2726,2.0497,1.4314,2.2097,2.5992,1.2122,2.4208,3.1709,2.4959,1.4809,1.3196,1.1474,2.903,1.4596,3.0119,0.41,2.7759,2.7462,2.1242,2.6573,1.266,1.6447,1.2955,1.7013,1.4501,2.0259,1.8722,1.4785,2.7718,4.308,1.1619,0.9769,3.2376,1.5493,1.5819,0.8055,2.4372,2.5187,2.3316,1.4594,1.6922,4.0372,1.583,1.568
1.6876,4.5684,0.9032,0.7999,1.3045,3.0481,0.8659,2.4448,1.8517,0.6849,1.3884,0.3641,0.3414,0.7676,0.9184,2.2408,2.3156,1.1603,2.4906,0.572,2.6415,1.3849,1.8878,0.6607,2.8362,3.0759,2.3316,0.94,0.0108,1.2948,1.346,0.6955,3.0656,0.6248,0.7202,0.7209,0.4294,0.9524,4.0689,3.0521,0.9304,1.0356,1.4482,4.1909,3.0566,0.7992,1.3672,1.393,2.6046,5.1467,0.5613,0.9844,0.22,0.5849,1.1418,2.35,6.7783,1.9195,1.0675,0.1133,0.2641,3.2174,1.0837,0.2157,2.392,3.3381,0.4293,2.5963,1.917,2.9728,2.1399,2.5192,1.6946,1.3284,0.0403,0.3662,0.9382,1.3182,0.0493,0.2432,4.7776,1.362,1.4785,1.5631,4.5477,4.1883,1.6637,2.9021,5.9027,1.0115,1.6255,1.1374,4.2183,3.8709,0.2162,1.9833,4.0993,2.5702,4.6465,3.0602,1.1873,0.4956,0.1468
0.0481,0.0451,0.0848,0.0976,0.0079,0.3658,0.0348,0.016,0.0469,0.0401,0.2156,0.0757,0.1026,0.0,0.8518,0.1449,0.0222,0.1153,0.0412,0.5284,0.4499,0.0619,0.0,1.3915,0.167,0.0311,0.0088,0.2877,0.0445,0.0452,0.0396,0.2395,0.0876,0.0524,1.7031,0.0629,0.0493,0.041,0.0601,0.1766,0.3004,0.2038,0.3377,0.0998,0.1837,0.3623,0.3054,0.0997,0.0257,0.0905,0.0889,0.162,0.0466,0.1453,0.085,0.116,0.2022,0.1543,0.2101,0.0446,0.0606,0.0888,0.1475,0.0991,0.1055,0.1133,0.0343,0.0907,0.1511,0.1487,0.2979,0.2389,0.1392,0.1596,0.0555,0.0229,0.0214,0.1063,0.0528,0.0801,0.0875,0.0876,0.0251,0.3158,0.1222,0.0434,0.1239,0.0421,0.1088,0.0,0.0707,0.0942,0.1177,0.0263,0.2103,0.3169,0.2369,0.1229,0.0694,0.0775,0.1913,0.0,0.0639
40.615,29.0244,14.3521,26.1679,21.1445,28.5055,46.1403,11.9002,25.2509,26.922,46.8908,15.1866,26.2684,30.7375,47.8801,16.4229,21.5914,28.1577,20.7659,22.9035,29.1603,21.9048,17.3704,7.3119,11.0409,19.1779,22.6301,68.6512,9.3798,34.1477,26.4525,16.567,12.8845,29.0438,18.1795,30.2066,17.4391,18.5876,40.176,15.9092,39.3715,16.2739,22.6346,24.9631,21.3426,7.6976,21.5549,19.9368,9.8525,20.9087,25.2137,27.2097,15.184,10.9052,25.5821,18.2243,26.5974,17.4679,13.0593,5.4238,28.1621,12.5292,30.1102,24.7119,15.7248,18.2985,21.3925,29.4891,18.1767,19.9788,20.17,21.4124,10.1399,36.8808,14.2059,9.8712,33.6314,8.35,9.6048,25.5919,24.7222,36.3015,24.9216,8.3609,18.126,28.7219,8.554,15.1997,14.9702,10.1458,31.7598,21.216,21.1387,26.9352,28.6419,22.2953,13.307,19.2143,17.3013,18.7614,20.8756,38.2317,14.8452
18.2181,13.9219,7.1817,7.6156,7.049,7.9047,14.181,8.7518,14.4843,15.7731,11.306,11.1448,20.3363,5.9006,18.3881,7.5901,11.195,29.3332,4.8473,7.1722,5.032,9.2321,11.0941,11.9711,17.6839,19.4033,6.3315,9.6652,6.7819,11.4657,14.5304,28.0876,8.0241,15.8781,5.7398,10.0663,4.1767,8.1192,9.8431,15.1931,7.3968,7.4758,9.4942,8.3252,8.2435,8.7122,15.3945,14.0632,10.0798,10.3903,14.0412,9.4147,8.0971,6.8185,13.3358,10.3021,6.3352,8.1248,4.814,5.077,11.3088,10.3463,21.1435,11.0206,37.6771,10.6801,24.1278,9.8204,12.8865,7.4062,18.9978,5.1244,18.414,9.0756,13.8424,3.0654,13.1133,6.3922,4.7059,18.954,13.3004,8.7511,13.7239,14.7307,10.2461,15.7861,4.6802,24.6092,7.2633,4.0161,4.621,9.0046,8.8822,15.1199,14.6436,8.0998,7.1666,5.6963,11.073,9.9328,10.9287,16.2251,11.5694
3.7178,11.4414,4.7961,7.2488,4.9101,10.8082,2.5111,6.542,7.3412,3.1144,7.3911,7.0602,3.3324,3.144,2.5464,4.1144,2.2753,5.2217,3.6789,6.1465,15.2178,3.6305,7.0094,3.4231,5.1329,12.4815,11.46,4.8297,2.7345,4.4152,6.2281,5.2635,5.9026,2.5322,5.6446,5.9143,2.3946,3.1989,9.8535,3.9019,0.6905,8.9343,4.1552,10.9841,5.8127,3.4936,7.6508,6.4042,6.9198,11.0016,5.6853,7.2839,2.3652,1.2573,7.2444,5.6955,8.5688,7.6971,5.7667,1.1414,1.8908,9.8987,13.8466,0.7115,5.037,8.4285,5.9846,7.0522,17.3092,3.5969,2.7926,5.1163,3.8767,2.6595,0.8764,7.318,6.1935,3.2436,1.2082,12.8862,9.3323,16.6088,9.3982,3.132,4.222,9.6692,7.3221,5.1866,8.7071,7.8944,5.6832,3.644,13.4024,12.8871,3.2283,9.2082,9.3322,3.7507,5.6536,9.2375,8.6123,1.4671,4.4302
1.4464,1.3865,0.8096,1.3854,2.1129,3.7697,3.4817,1.6564,5.8679,0.4903,3.6096,2.4649,1.3003,2.4195,3.761,4.348,1.0464,5.0245,2.8177,3.6442,5.5058,2.5209,1.8848,2.3829,5.0021,10.4989,2.5907,1.3778,2.0936,3.5956,2.7923,10.4901,4.3821,2.0873,10.2256,5.4822,2.0853,1.0843,10.2233,5.2696,1.2894,8.8723,2.4623,7.2244,5.2386,6.6863,5.5168,4.9063,3.8924,7.684,1.9352,4.6741,0.5694,0.9445,8.245,4.8898,8.5039,3.2854,8.5801,3.3515,1.3142,2.4081,7.9551,0.3782,4.6285,9.9963,4.9195,3.3083,6.9199,1.5046,1.9307,2.702,2.6849,1.5593,0.7476,2.2221,3.9459,2.2,0.2611,1.3055,5.544,3.4237,9.7432,7.9834,3.3973,9.1036,12.6334,6.4806,6.685,4.4539,6.5531,5.0277,13.7661,4.3767,0.9807,3.4367,6.5764,2.338,4.973,1.6806,4.5675,0.7915,3.1334
