Gene_Name	Type
KRAS	ACC
HRAS	BLCA
ERBB2	BLCA
KRAS	BLCA
MYC	BLCA
ERBB2	BRCA
MYC	BRCA
HRAS	BRCA
EGFR	BRCA
KRAS	BRCA
CCND1	BRCA
PIK3CA	BRCA
AKT1	BRCA
MDM2	BRCA
CSF1R	BRCA
MET	BRCA
BCL2	BRCA
KIT	BRCA
STAT3	BRCA
LAMTOR5	BRCA
JUN	BRCA
FOS	BRCA
SRC	BRCA
PPM1D	BRCA
MYC	CESC
ERBB2	CESC
RET	CESC
EGFR	CESC
BCL2	CESC
HRAS	CESC
JUN	CESC
KRAS	CHOL
KRAS	COAD
MYC	COAD
HRAS	COAD
CSF1R	COAD
ERBB2	COAD
SRC	COAD
RET	COAD
CTNNB1	COAD
KIT	COAD
BCL2	COAD
NRAS	COAD
MET	COAD
ABL1	COAD
PIK3CA	COAD
BRAF	COAD
AKT1	COAD
EGFR	COAD
JUN	COAD
CBL	COAD
CCND1	COAD
FOS	COAD
GLI1	COAD
MDM2	COAD
MPL	COAD
ERBB2	ESCA
EGFR	GBM
ERBB2	GBM
MYC	GBM
MET	GBM
MYC	HNSC
EGFR	HNSC
ERBB2	HNSC
CCND1	HNSC
KRAS	HNSC
MET	HNSC
MYC	KIRC
ERBB2	KIRC
KRAS	KIRC
FOS	KIRC
HRAS	KIRC
JUN	KIRC
RET	KIRC
BCL2	KIRC
MDM2	KIRC
MET	KIRC
PML	KIRC
CSF1R	KIRC
EGFR	KIRC
SRC	KIRC
CTNNB1	KIRC
KIT	KIRC
THRA	KIRC
CCND1	KIRC
AKT1	KIRC
NRAS	KIRC
STAT3	KIRC
ABL1	KIRC
GLI1	KIRC
PIK3CA	KIRC
PDGFB	KIRC
RAF1	KIRC
BRAF	KIRC
MOS	KIRC
VAV1	KIRC
CBL	KIRC
FES	KIRC
FUS	KIRC
STMN1	KIRC
KMT2A	KIRC
PIM1	KIRC
CNTN2	KIRC
RET	KIRP
PTCH1	KIRP
ERBB2	KIRP
MET	KIRP
BRAF	KIRP
KRAS	KIRP
NTRK1	KIRP
ABL1	LAML
MYC	LAML
KIT	LAML
NRAS	LAML
RUNX1	LAML
KMT2A	LAML
BCL2	LAML
KRAS	LAML
FLT3	LAML
PML	LAML
FOS	LAML
CBL	LAML
CSF1R	LAML
ERBB2	LAML
RAF1	LAML
HRAS	LAML
RET	LAML
ABL1	LCML
KRAS	LCML
MYC	LCML
BCL2	LCML
NRAS	LCML
HRAS	LCML
ERBB2	LCML
KIT	LCML
SRC	LCML
FOS	LCML
CCND1	LCML
MET	LCML
RET	LCML
MYC	LIHC
HRAS	LIHC
KRAS	LIHC
ERBB2	LIHC
CTNNB1	LIHC
KRAS	LUAD
EGFR	LUAD
MYC	LUAD
ERBB2	LUAD
HRAS	LUAD
JUN	LUAD
RET	LUAD
FOS	LUAD
MET	LUAD
AKT1	LUAD
BCL2	LUAD
MDM2	LUAD
PIK3CA	LUAD
BRAF	LUAD
SRC	LUAD
GLI1	LUAD
KIT	LUAD
NRAS	LUAD
STAT3	LUAD
KRAS	LUSC
EGFR	LUSC
MYC	LUSC
ERBB2	LUSC
HRAS	LUSC
JUN	LUSC
RET	LUSC
FOS	LUSC
MET	LUSC
AKT1	LUSC
BCL2	LUSC
MDM2	LUSC
PIK3CA	LUSC
BRAF	LUSC
SRC	LUSC
GLI1	LUSC
KIT	LUSC
NRAS	LUSC
STAT3	LUSC
KRAS	PAAD
ERBB2	PAAD
EGFR	PAAD
HRAS	PAAD
RET	PAAD
JUN	PAAD
MYC	PAAD
NTRK1	PCPG
ERBB2	PRAD
MYC	PRAD
KRAS	PRAD
VAV3	PRAD
BCL2	PRAD
EZH2	PRAD
MDM2	PRAD
HRAS	PRAD
KRAS	SARC
HRAS	SARC
SRC	SARC
MYC	SARC
FOS	SARC
ERBB2	SARC
MDM2	SARC
CSF1R	SARC
JUN	SARC
MET	SARC
EGFR	SARC
MOS	SARC
FUS	SARC
KIT	SARC
PDGFB	SARC
FOXO1	SARC
NRAS	SARC
FES	SARC
CRK	SARC
DDIT3	SARC
CCND1	SARC
BCL2	SARC
GLI1	SARC
THRA	SARC
HRAS	SKCM
MYC	SKCM
FOS	SKCM
KRAS	SKCM
ERBB2	SKCM
KIT	SKCM
NRAS	SKCM
BCL2	SKCM
JUN	SKCM
GLI1	SKCM
ERBB2	STAD
KRAS	STAD
MET	STAD
MYC	STAD
EGFR	STAD
BCL2	STAD
HRAS	STAD
RET	STAD
MYC	TGCT
KIT	TGCT
RET	THCA
THRA	THCA
PTCH1	THCA
ERBB2	THCA
BRAF	THCA
KRAS	THCA
HRAS	THCA
CCND1	THCA
NTRK1	THCA
MYC	THCA
FOS	THCA
PIK3CA	THCA
AKT1	THYM
ERBB2	UCEC
KRAS	UCEC
BCL2	UCEC
PIK3CA	UCEC
MYC	UCEC
ERBB2	UCS
MYC	UCS
BCL2	UCS
